指标,数值
训练RMSE,248.28796519271512
测试RMSE,4312.732265769137
训练MAE,110.99147973310966
测试MAE,2085.6494243097823
训练R²,0.9995757769017034
测试R²,0.8757113907431241
CV R²均值,0.8596434661335597
CV R²标准差,0.019220928198605495
