模型,训练RMSE,测试RMSE,训练MAE,测试MAE,训练R2,测试R2,CV R2均值,CV R2标准差
Lasso回归,3982.9668058972497,6177.838375096587,2724.7009053106917,4076.83790351374,0.8908317503999528,0.74496521656016,0.8902771525379638,0.010340567552836697
岭回归,3982.968018810054,6176.624489094834,2724.901524733385,4076.263302883075,0.8908316839110292,0.7450654304925171,0.8902773103470594,0.010338901540041284
随机森林,1824.8502858828535,5306.557196008537,1156.786721357956,3122.5322051535845,0.9770840718061972,0.811829286523975,0.925891036968342,0.01338561492888532
梯度提升,1777.8383660404886,4917.354699374476,1191.3300424158135,2911.1424933668186,0.9782495863345123,0.8384193300498824,0.9321508636408714,0.011735701904616296
XGBoost,1891.142181328522,4931.122793036085,1240.703369140625,2930.609375,0.9753888845443726,0.8375132083892822,0.9314517855644227,0.009071878715312846
CatBoost,3140.5989166350773,5266.298798557515,2088.0500594527257,3383.9668403469645,0.9321252995460211,0.8146735847642157,0.916678613896261,0.010122828439150433
LightGBM,2442.132388247131,4978.9193735481995,1568.0314114649714,3044.1415807135145,0.9589586743999745,0.8343480626078078,0.9267535449857617,0.010579475162665778
