指标,值
训练集MSE,55646859.68633426
测试集MSE,58018424.20103067
训练集RMSE,7459.682277840944
测试集RMSE,7616.982617876364
训练集MAE,5436.119557654709
测试集MAE,5494.286720496128
训练集R²,0.6215215908788145
测试集R²,0.6302593973445573
交叉验证R²均值,0.6177158557783097
交叉验证R²标准差,0.011619894511307238
