指标,值
训练集MSE,50732756.453078955
测试集MSE,52236490.55773232
训练集RMSE,7122.693061832649
测试集RMSE,7227.48161932857
训练集MAE,5308.34674335038
测试集MAE,5374.800440234711
训练集R²,0.6508826500785966
测试集R²,0.6509398072422388
CV_R²均值,0.6492312035984048
CV_R²标准差,0.017649771904592968
