数据集,样本数,MSE,RMSE,MAE,R²
训练集,3947,50732746.0130109,7122.692328958966,5308.352169851644,0.6508827219219016
测试集,1316,52236619.02155381,7227.490506500428,5374.815202367423,0.6509389488077266
